subject,predicate,object
biolink:RelationshipType,biolink:subclass_of,biolink:OntologyClass
biolink:NamedThing,biolink:subclass_of,biolink:OntologyClass
biolink:BiologicalEntity,biolink:subclass_of,biolink:OntologyClass
biolink:AnatomicalEntity,biolink:subclass_of,biolink:OntologyClass
biolink:OrganismalEntity,biolink:subclass_of,biolink:OntologyClass
biolink:InformationContentEntity,biolink:subclass_of,biolink:OntologyClass
biolink:OntologyClass,biolink:subclass_of,biolink:OntologyClass
biolink:Phenomenon,biolink:subclass_of,biolink:OntologyClass
biolink:Disease,biolink:subclass_of,biolink:OntologyClass
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:OntologyClass
biolink:PhenotypicFeature,biolink:subclass_of,biolink:OntologyClass
biolink:Activity,biolink:subclass_of,biolink:OntologyClass
biolink:BiologicalProcess,biolink:subclass_of,biolink:OntologyClass
biolink:BiologicalProcessOrActivity,biolink:subclass_of,biolink:OntologyClass
biolink:PhysiologicalProcess,biolink:subclass_of,biolink:OntologyClass
biolink:AdministrativeEntity,biolink:subclass_of,biolink:OntologyClass
biolink:Agent,biolink:subclass_of,biolink:OntologyClass
biolink:PathologicalProcess,biolink:subclass_of,biolink:OntologyClass
biolink:NamedThing,biolink:related_to,biolink:OntologyClass
biolink:BiologicalEntity,biolink:related_to,biolink:OntologyClass
biolink:BiologicalProcess,biolink:related_to,biolink:OntologyClass
biolink:BiologicalProcessOrActivity,biolink:related_to,biolink:OntologyClass
biolink:PhysiologicalProcess,biolink:related_to,biolink:OntologyClass
biolink:NamedThing,biolink:correlated_with,biolink:OntologyClass
biolink:BiologicalEntity,biolink:correlated_with,biolink:OntologyClass
biolink:Disease,biolink:correlated_with,biolink:OntologyClass
biolink:DiseaseOrPhenotypicFeature,biolink:correlated_with,biolink:OntologyClass
biolink:PhenotypicFeature,biolink:correlated_with,biolink:OntologyClass
biolink:Phenomenon,biolink:correlated_with,biolink:OntologyClass
biolink:OntologyClass,biolink:subclass_of,biolink:InformationContentEntity
biolink:OntologyClass,biolink:subclass_of,biolink:NamedThing
biolink:RelationshipType,biolink:subclass_of,biolink:InformationContentEntity
biolink:RelationshipType,biolink:subclass_of,biolink:NamedThing
biolink:NamedThing,biolink:subclass_of,biolink:InformationContentEntity
biolink:NamedThing,biolink:subclass_of,biolink:NamedThing
biolink:InformationContentEntity,biolink:subclass_of,biolink:InformationContentEntity
biolink:InformationContentEntity,biolink:subclass_of,biolink:NamedThing
biolink:NamedThing,biolink:subclass_of,biolink:AdministrativeEntity
biolink:NamedThing,biolink:subclass_of,biolink:Agent
biolink:BiologicalEntity,biolink:subclass_of,biolink:NamedThing
biolink:BiologicalEntity,biolink:subclass_of,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:subclass_of,biolink:Agent
biolink:Disease,biolink:subclass_of,biolink:NamedThing
biolink:Disease,biolink:subclass_of,biolink:AdministrativeEntity
biolink:Disease,biolink:subclass_of,biolink:Agent
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:AdministrativeEntity
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:Agent
biolink:PhenotypicFeature,biolink:subclass_of,biolink:NamedThing
biolink:PhenotypicFeature,biolink:subclass_of,biolink:AdministrativeEntity
biolink:PhenotypicFeature,biolink:subclass_of,biolink:Agent
biolink:BiologicalProcess,biolink:subclass_of,biolink:NamedThing
biolink:BiologicalProcess,biolink:subclass_of,biolink:AdministrativeEntity
biolink:BiologicalProcess,biolink:subclass_of,biolink:Agent
biolink:BiologicalProcessOrActivity,biolink:subclass_of,biolink:NamedThing
biolink:BiologicalProcessOrActivity,biolink:subclass_of,biolink:AdministrativeEntity
biolink:BiologicalProcessOrActivity,biolink:subclass_of,biolink:Agent
biolink:PathologicalProcess,biolink:subclass_of,biolink:NamedThing
biolink:PathologicalProcess,biolink:subclass_of,biolink:AdministrativeEntity
biolink:PathologicalProcess,biolink:subclass_of,biolink:Agent
biolink:Phenomenon,biolink:subclass_of,biolink:NamedThing
biolink:Phenomenon,biolink:subclass_of,biolink:AdministrativeEntity
biolink:Phenomenon,biolink:subclass_of,biolink:Agent
biolink:AdministrativeEntity,biolink:subclass_of,biolink:NamedThing
biolink:AdministrativeEntity,biolink:subclass_of,biolink:AdministrativeEntity
biolink:AdministrativeEntity,biolink:subclass_of,biolink:Agent
biolink:Agent,biolink:subclass_of,biolink:NamedThing
biolink:Agent,biolink:subclass_of,biolink:AdministrativeEntity
biolink:Agent,biolink:subclass_of,biolink:Agent
biolink:NamedThing,biolink:related_to,biolink:NamedThing
biolink:NamedThing,biolink:related_to,biolink:AdministrativeEntity
