subject,predicate,object
biolink:OntologyClass,biolink:subclass_of,biolink:OntologyClass
biolink:ChemicalSubstance,biolink:subclass_of,biolink:NamedThing
biolink:NamedThing,biolink:subclass_of,biolink:NamedThing
biolink:ChemicalSubstance,biolink:subclass_of,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:subclass_of,biolink:ChemicalSubstance
biolink:InformationContentEntity,biolink:subclass_of,biolink:ChemicalSubstance
biolink:NamedThing,biolink:subclass_of,biolink:ChemicalSubstance
biolink:Protein,biolink:subclass_of,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:subclass_of,biolink:ChemicalSubstance
biolink:Procedure,biolink:subclass_of,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:subclass_of,biolink:ChemicalSubstance
biolink:Drug,biolink:subclass_of,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:close_match,biolink:ChemicalSubstance
biolink:Drug,biolink:close_match,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:related_to,biolink:ChemicalSubstance
biolink:Procedure,biolink:related_to,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:related_to,biolink:ChemicalSubstance
biolink:Gene,biolink:related_to,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:related_to,biolink:ChemicalSubstance
biolink:NamedThing,biolink:related_to,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:related_to,biolink:ChemicalSubstance
biolink:Device,biolink:related_to,biolink:ChemicalSubstance
biolink:PathologicalProcess,biolink:related_to,biolink:ChemicalSubstance
biolink:Disease,biolink:related_to,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:coexists_with,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Gene,biolink:coexists_with,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:coexists_with,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:coexists_with,biolink:ChemicalSubstance
biolink:NamedThing,biolink:coexists_with,biolink:ChemicalSubstance
biolink:PopulationOfIndividualOrganisms,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Procedure,biolink:coexists_with,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:NamedThing,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:Protein,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:Gene,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:Procedure,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:InformationContentEntity,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:Procedure,biolink:has_input,biolink:ChemicalSubstance
biolink:NamedThing,biolink:has_input,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:has_input,biolink:ChemicalSubstance
biolink:Device,biolink:has_input,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:has_input,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:has_input,biolink:ChemicalSubstance
biolink:InformationContentEntity,biolink:has_input,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:NamedThing,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Gene,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Gene,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:NamedThing,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Protein,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:derives_into,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:derives_into,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:derives_into,biolink:ChemicalSubstance
biolink:Gene,biolink:derives_into,biolink:ChemicalSubstance
biolink:NamedThing,biolink:close_match,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:subclass_of,biolink:NamedThing
biolink:MolecularEntity,biolink:close_match,biolink:ChemicalSubstance
biolink:Device,biolink:subclass_of,biolink:ChemicalSubstance
biolink:Drug,biolink:related_to,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:NamedThing,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:produces,biolink:ChemicalSubstance
biolink:GrossAnatomicalStructure,biolink:produces,biolink:ChemicalSubstance
biolink:PathologicalProcess,biolink:produces,biolink:ChemicalSubstance
biolink:Cell,biolink:produces,biolink:ChemicalSubstance
biolink:Procedure,biolink:close_match,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:related_to,biolink:ChemicalSubstance
