source,target
CHEMBL.COMPOUND:CHEMBL1405447,DOID:1257
CHEMBL.COMPOUND:CHEMBL1405447,DOID:12269
CHEMBL.COMPOUND:CHEMBL1405447,DOID:11711
CHEMBL.COMPOUND:CHEMBL1405447,DOID:11271
CHEMBL.COMPOUND:CHEMBL1405447,DOID:4285
CHEMBL.COMPOUND:CHEMBL1405447,DOID:2177
CHEMBL.COMPOUND:CHEMBL1405447,DOID:9878
CHEMBL.COMPOUND:CHEMBL1405447,HP:0031437
CHEMBL.COMPOUND:CHEMBL1405447,DOID:11248
CHEMBL.COMPOUND:CHEMBL1405447,DOID:2213
CHEMBL.COMPOUND:CHEMBL1405447,DOID:0050014
CHEMBL.COMPOUND:CHEMBL1405447,HP:0001928
CHEMBL.COMPOUND:CHEMBL1575,HP:0001907
CHEMBL.COMPOUND:CHEMBL1575,DOID:3875
CHEMBL.COMPOUND:CHEMBL1575,HP:0004418
CHEMBL.COMPOUND:CHEMBL1201139,DOID:1257
CHEMBL.COMPOUND:CHEMBL1201139,DOID:12269
CHEMBL.COMPOUND:CHEMBL1201139,DOID:11711
CHEMBL.COMPOUND:CHEMBL1201139,DOID:11271
CHEMBL.COMPOUND:CHEMBL1201139,DOID:4285
CHEMBL.COMPOUND:CHEMBL1201139,DOID:2177
CHEMBL.COMPOUND:CHEMBL1201139,DOID:9878
CHEMBL.COMPOUND:CHEMBL1201139,HP:0031437
CHEMBL.COMPOUND:CHEMBL559,HP:0001399
CHEMBL.COMPOUND:CHEMBL559,DOID:9518
CHEMBL.COMPOUND:CHEMBL559,DOID:1074
CHEMBL.COMPOUND:CHEMBL559,HP:0000083
CHEMBL.COMPOUND:CHEMBL559,DOID:11271
CHEMBL.COMPOUND:CHEMBL559,DOID:10763
CHEMBL.COMPOUND:CHEMBL559,DOID:9653
CHEMBL.COMPOUND:CHEMBL559,HP:0000822
CHEMBL.COMPOUND:CHEMBL559,DOID:0060828
CHEMBL.COMPOUND:CHEMBL559,DOID:6000
CHEMBL.COMPOUND:CHEMBL559,HP:0001635
CHEMBL.COMPOUND:CHEMBL559,DOID:0050827
CHEMBL.COMPOUND:CHEMBL559,DOID:9814
CHEMBL.COMPOUND:CHEMBL559,DOID:1257
CHEMBL.COMPOUND:CHEMBL559,DOID:12269
CHEMBL.COMPOUND:CHEMBL559,DOID:11711
CHEMBL.COMPOUND:CHEMBL559,DOID:11271
CHEMBL.COMPOUND:CHEMBL559,DOID:4285
CHEMBL.COMPOUND:CHEMBL559,DOID:2177
CHEMBL.COMPOUND:CHEMBL559,DOID:9878
CHEMBL.COMPOUND:CHEMBL559,HP:0031437
CHEMBL.COMPOUND:CHEMBL559,HP:0001649
CHEMBL.COMPOUND:CHEMBL442,DOID:0050830
CHEMBL.COMPOUND:CHEMBL442,HP:0004950
