source,target
ChEMBL:1405447,DOID:1257
ChEMBL:1405447,DOID:12269
ChEMBL:1405447,DOID:11711
ChEMBL:1405447,DOID:11271
ChEMBL:1405447,DOID:4285
ChEMBL:1405447,DOID:2177
ChEMBL:1405447,DOID:9878
ChEMBL:1405447,HP:0031437
ChEMBL:1405447,DOID:11248
ChEMBL:1405447,DOID:2213
ChEMBL:1405447,DOID:0050014
ChEMBL:1405447,HP:0001928
ChEMBL:1575,HP:0001907
ChEMBL:1575,DOID:3875
ChEMBL:1575,HP:0004418
ChEMBL:1201139,DOID:1257
ChEMBL:1201139,DOID:12269
ChEMBL:1201139,DOID:11711
ChEMBL:1201139,DOID:11271
ChEMBL:1201139,DOID:4285
ChEMBL:1201139,DOID:2177
ChEMBL:1201139,DOID:9878
ChEMBL:1201139,HP:0031437
ChEMBL:559,HP:0001399
ChEMBL:559,DOID:9518
ChEMBL:559,DOID:1074
ChEMBL:559,HP:0000083
ChEMBL:559,DOID:11271
ChEMBL:559,DOID:10763
ChEMBL:559,DOID:9653
ChEMBL:559,HP:0000822
ChEMBL:559,DOID:0060828
ChEMBL:559,DOID:6000
ChEMBL:559,HP:0001635
ChEMBL:559,DOID:0050827
ChEMBL:559,DOID:9814
ChEMBL:559,DOID:1257
ChEMBL:559,DOID:12269
ChEMBL:559,DOID:11711
ChEMBL:559,DOID:11271
ChEMBL:559,DOID:4285
ChEMBL:559,DOID:2177
ChEMBL:559,DOID:9878
ChEMBL:559,HP:0031437
ChEMBL:559,HP:0001649
ChEMBL:442,DOID:0050830
ChEMBL:442,HP:0004950
ChEMBL:442,DOID:1042
ChEMBL:442,DOID:409
ChEMBL:442,DOID:0050082
ChEMBL:442,HP:0001392
ChEMBL:442,DOID:1257
ChEMBL:442,DOID:12269
ChEMBL:442,DOID:11711
ChEMBL:442,DOID:11271
ChEMBL:442,DOID:4285
ChEMBL:442,DOID:2177
ChEMBL:442,DOID:9878
ChEMBL:442,HP:0031437
ChEMBL:442,DOID:11271
ChEMBL:442,DOID:10763
ChEMBL:442,DOID:9653
ChEMBL:442,HP:0000822
ChEMBL:442,DOID:0111117
ChEMBL:442,DOID:2980
ChEMBL:442,DOID:11271
ChEMBL:442,DOID:581
ChEMBL:442,DOID:557
ChEMBL:442,HP:0000077
ChEMBL:442,HP:0000112
ChEMBL:109,DOID:409
ChEMBL:109,DOID:0050082
ChEMBL:109,HP:0001392
ChEMBL:109,DOID:1257
ChEMBL:109,DOID:12269
ChEMBL:109,DOID:11711
ChEMBL:109,DOID:11271
ChEMBL:109,DOID:4285
ChEMBL:109,DOID:2177
ChEMBL:109,DOID:9878
ChEMBL:109,HP:0031437
ChEMBL:1201558,DOID:2048
ChEMBL:822,DOID:0111117
ChEMBL:822,DOID:2980
ChEMBL:822,DOID:11271
ChEMBL:822,DOID:581
ChEMBL:822,DOID:557
ChEMBL:822,HP:0000077
ChEMBL:822,HP:0000112
ChEMBL:822,DOID:409
ChEMBL:822,DOID:0050082
ChEMBL:822,HP:0001392
ChEMBL:189,DOID:0060056
ChEMBL:189,DOID:0060057
ChEMBL:189,DOID:1204
ChEMBL:189,DOID:0060496
ChEMBL:189,DOID:0060498
ChEMBL:189,DOID:0060502
ChEMBL:189,DOID:0060503
ChEMBL:189,DOID:0060504
ChEMBL:189,DOID:0060505
ChEMBL:189,DOID:0060506
ChEMBL:189,DOID:0060507
ChEMBL:189,DOID:0060509
ChEMBL:189,DOID:0060510
ChEMBL:189,DOID:0060511
ChEMBL:189,DOID:0060512
ChEMBL:189,DOID:0060513
ChEMBL:189,DOID:0060514
ChEMBL:189,DOID:0060515
ChEMBL:189,DOID:0060516
ChEMBL:189,DOID:0060517
ChEMBL:189,DOID:0060518
ChEMBL:189,DOID:0060520
ChEMBL:189,DOID:0060523
ChEMBL:189,DOID:0060524
ChEMBL:189,DOID:0060525
ChEMBL:189,DOID:0060526
ChEMBL:189,DOID:0060527
ChEMBL:189,DOID:0060528
ChEMBL:189,DOID:0060529
ChEMBL:189,DOID:0060530
ChEMBL:189,DOID:0060531
ChEMBL:2220442,DOID:1257
ChEMBL:2220442,DOID:12269
ChEMBL:2220442,DOID:11711
ChEMBL:2220442,DOID:11271
ChEMBL:2220442,DOID:4285
ChEMBL:2220442,DOID:2177
ChEMBL:2220442,DOID:9878
ChEMBL:2220442,HP:0031437
ChEMBL:2220442,HP:0001399
ChEMBL:645,HP:0002615
ChEMBL:645,DOID:0060828
ChEMBL:645,DOID:6000
ChEMBL:645,HP:0001635
ChEMBL:645,HP:0001662
ChEMBL:645,HP:0030149
ChEMBL:645,DOID:11396
ChEMBL:645,HP:0100598
ChEMBL:645,DOID:1257
ChEMBL:645,DOID:12269
ChEMBL:645,DOID:11711
ChEMBL:645,DOID:11271
ChEMBL:645,DOID:4285
ChEMBL:645,DOID:2177
ChEMBL:645,DOID:9878
ChEMBL:645,HP:0031437
ChEMBL:645,DOID:13884
ChEMBL:645,HP:0011704
ChEMBL:1431,DOID:409
ChEMBL:1431,DOID:0050082
ChEMBL:1431,HP:0001392
ChEMBL:1431,DOID:9518
ChEMBL:1431,DOID:1074
ChEMBL:1431,HP:0000083
ChEMBL:553025,DOID:1257
ChEMBL:553025,DOID:12269
ChEMBL:553025,DOID:11711
ChEMBL:553025,DOID:11271
ChEMBL:553025,DOID:4285
ChEMBL:553025,DOID:2177
ChEMBL:553025,DOID:9878
ChEMBL:553025,HP:0031437
ChEMBL:553025,DOID:1588
ChEMBL:553025,HP:0001873
ChEMBL:553025,DOID:0110003
ChEMBL:553025,DOID:1227
ChEMBL:553025,DOID:0060551
ChEMBL:218490,DOID:9518
ChEMBL:218490,DOID:1074
ChEMBL:218490,HP:0000083
