source,target
CHEMBL.COMPOUND:CHEMBL1405447,OMIM:613679
CHEMBL.COMPOUND:CHEMBL1405447,DOID:2235
CHEMBL.COMPOUND:CHEMBL1575,DOID:10283
CHEMBL.COMPOUND:CHEMBL1575,HP:0100787
CHEMBL.COMPOUND:CHEMBL1544,DOID:1781
CHEMBL.COMPOUND:CHEMBL1544,HP:0100031
CHEMBL.COMPOUND:CHEMBL1544,DOID:11634
CHEMBL.COMPOUND:CHEMBL1544,OMIM:255900
CHEMBL.COMPOUND:CHEMBL1544,DOID:7997
CHEMBL.COMPOUND:CHEMBL1544,DOID:12839
CHEMBL.COMPOUND:CHEMBL1544,DOID:757
CHEMBL.COMPOUND:CHEMBL1544,DOID:12176
CHEMBL.COMPOUND:CHEMBL1544,HP:0000853
CHEMBL.COMPOUND:CHEMBL1544,DOID:7188
CHEMBL.COMPOUND:CHEMBL1201139,DOID:1612
CHEMBL.COMPOUND:CHEMBL1201139,HP:0100013
CHEMBL.COMPOUND:CHEMBL1201139,HP:0002039
CHEMBL.COMPOUND:CHEMBL1201139,HP:0004326
CHEMBL.COMPOUND:CHEMBL1201139,DOID:1380
CHEMBL.COMPOUND:CHEMBL559,DOID:0090105
CHEMBL.COMPOUND:CHEMBL559,DOID:2487
CHEMBL.COMPOUND:CHEMBL559,DOID:2487
CHEMBL.COMPOUND:CHEMBL559,HP:0003124
CHEMBL.COMPOUND:CHEMBL559,DOID:1168
CHEMBL.COMPOUND:CHEMBL559,HP:0010980
CHEMBL.COMPOUND:CHEMBL559,HP:0001677
CHEMBL.COMPOUND:CHEMBL442,HP:0012199
CHEMBL.COMPOUND:CHEMBL109,DOID:0110035
CHEMBL.COMPOUND:CHEMBL109,DOID:0110036
CHEMBL.COMPOUND:CHEMBL109,DOID:0110038
CHEMBL.COMPOUND:CHEMBL109,DOID:0110039
CHEMBL.COMPOUND:CHEMBL109,DOID:0110040
CHEMBL.COMPOUND:CHEMBL109,DOID:0110041
CHEMBL.COMPOUND:CHEMBL109,DOID:0110042
CHEMBL.COMPOUND:CHEMBL109,DOID:0110043
CHEMBL.COMPOUND:CHEMBL109,DOID:0110044
CHEMBL.COMPOUND:CHEMBL109,DOID:0110045
CHEMBL.COMPOUND:CHEMBL109,DOID:0110046
CHEMBL.COMPOUND:CHEMBL109,DOID:0110047
CHEMBL.COMPOUND:CHEMBL109,DOID:0110048
CHEMBL.COMPOUND:CHEMBL109,DOID:0110049
CHEMBL.COMPOUND:CHEMBL109,DOID:0110050
CHEMBL.COMPOUND:CHEMBL109,DOID:0110051
CHEMBL.COMPOUND:CHEMBL109,OMIM:104300
CHEMBL.COMPOUND:CHEMBL109,DOID:10652
CHEMBL.COMPOUND:CHEMBL109,HP:0002511
CHEMBL.COMPOUND:CHEMBL109,DOID:3312
CHEMBL.COMPOUND:CHEMBL109,HP:0007302
CHEMBL.COMPOUND:CHEMBL109,DOID:1825
CHEMBL.COMPOUND:CHEMBL109,DOID:0060172
CHEMBL.COMPOUND:CHEMBL109,DOID:0050708
CHEMBL.COMPOUND:CHEMBL109,HP:0002121
CHEMBL.COMPOUND:CHEMBL109,HP:0011147
CHEMBL.COMPOUND:CHEMBL109,DOID:12382
CHEMBL.COMPOUND:CHEMBL1201558,DOID:8552
CHEMBL.COMPOUND:CHEMBL1201558,DOID:0060761
CHEMBL.COMPOUND:CHEMBL1201558,OMIM:608232
CHEMBL.COMPOUND:CHEMBL1201558,HP:0005506
CHEMBL.COMPOUND:CHEMBL1201558,DOID:9538
CHEMBL.COMPOUND:CHEMBL1201558,DOID:9514
CHEMBL.COMPOUND:CHEMBL1201558,OMIM:254500
CHEMBL.COMPOUND:CHEMBL1201558,HP:0006775
CHEMBL.COMPOUND:CHEMBL1201558,DOID:11168
CHEMBL.COMPOUND:CHEMBL1201558,DOID:10265
CHEMBL.COMPOUND:CHEMBL1201558,DOID:12392
CHEMBL.COMPOUND:CHEMBL1201558,DOID:12021
CHEMBL.COMPOUND:CHEMBL1201558,DOID:14258
CHEMBL.COMPOUND:CHEMBL1201558,DOID:283
CHEMBL.COMPOUND:CHEMBL1201558,DOID:285
CHEMBL.COMPOUND:CHEMBL1201558,DOID:10901
CHEMBL.COMPOUND:CHEMBL1201558,DOID:8997
CHEMBL.COMPOUND:CHEMBL1201558,OMIM:263300
CHEMBL.COMPOUND:CHEMBL1201558,HP:0200042
CHEMBL.COMPOUND:CHEMBL1201558,DOID:1781
CHEMBL.COMPOUND:CHEMBL1201558,HP:0100031
CHEMBL.COMPOUND:CHEMBL1201558,DOID:8632
CHEMBL.COMPOUND:CHEMBL1201558,HP:0100726
CHEMBL.COMPOUND:CHEMBL1201558,DOID:7335
CHEMBL.COMPOUND:CHEMBL1201558,DOID:10038
CHEMBL.COMPOUND:CHEMBL1201558,DOID:10045
CHEMBL.COMPOUND:CHEMBL1201558,DOID:10048
CHEMBL.COMPOUND:CHEMBL1201558,DOID:0050928
CHEMBL.COMPOUND:CHEMBL1201558,DOID:0050929
CHEMBL.COMPOUND:CHEMBL1201558,DOID:6367
CHEMBL.COMPOUND:CHEMBL1201558,DOID:8197
CHEMBL.COMPOUND:CHEMBL1201558,DOID:4356
CHEMBL.COMPOUND:CHEMBL1201558,DOID:1909
CHEMBL.COMPOUND:CHEMBL1201558,HP:0002861
CHEMBL.COMPOUND:CHEMBL1201558,HP:0012056
CHEMBL.COMPOUND:CHEMBL1201558,DOID:8704
CHEMBL.COMPOUND:CHEMBL1201558,DOID:6361
CHEMBL.COMPOUND:CHEMBL1201558,DOID:4450
CHEMBL.COMPOUND:CHEMBL1201558,DOID:6174
CHEMBL.COMPOUND:CHEMBL1201558,DOID:0050387
CHEMBL.COMPOUND:CHEMBL1201558,HP:0005584
CHEMBL.COMPOUND:CHEMBL1201558,DOID:2047
CHEMBL.COMPOUND:CHEMBL1201558,DOID:5133
CHEMBL.COMPOUND:CHEMBL1201558,DOID:3165
CHEMBL.COMPOUND:CHEMBL1201558,DOID:2412
CHEMBL.COMPOUND:CHEMBL1201558,HP:0008069
CHEMBL.COMPOUND:CHEMBL1266,DOID:4730
CHEMBL.COMPOUND:CHEMBL1266,HP:0000246
CHEMBL.COMPOUND:CHEMBL853,DOID:524
CHEMBL.COMPOUND:CHEMBL853,DOID:635
CHEMBL.COMPOUND:CHEMBL853,DOID:0050507
CHEMBL.COMPOUND:CHEMBL853,DOID:0050510
CHEMBL.COMPOUND:CHEMBL853,DOID:13734
CHEMBL.COMPOUND:CHEMBL853,DOID:6045
CHEMBL.COMPOUND:CHEMBL853,DOID:7498
CHEMBL.COMPOUND:CHEMBL746,DOID:11204
CHEMBL.COMPOUND:CHEMBL746,HP:0007879
CHEMBL.COMPOUND:CHEMBL746,HP:0000989
CHEMBL.COMPOUND:CHEMBL822,DOID:0050107
CHEMBL.COMPOUND:CHEMBL822,DOID:0050108
CHEMBL.COMPOUND:CHEMBL822,DOID:0050110
CHEMBL.COMPOUND:CHEMBL822,DOID:0050111
CHEMBL.COMPOUND:CHEMBL822,DOID:0050112
CHEMBL.COMPOUND:CHEMBL822,DOID:0050113
CHEMBL.COMPOUND:CHEMBL822,DOID:0050115
CHEMBL.COMPOUND:CHEMBL822,DOID:0050098
CHEMBL.COMPOUND:CHEMBL822,DOID:0050099
CHEMBL.COMPOUND:CHEMBL822,DOID:0050100
CHEMBL.COMPOUND:CHEMBL822,DOID:0050101
CHEMBL.COMPOUND:CHEMBL822,DOID:0050102
CHEMBL.COMPOUND:CHEMBL822,DOID:0050103
CHEMBL.COMPOUND:CHEMBL822,DOID:0050104
CHEMBL.COMPOUND:CHEMBL822,DOID:0050106
CHEMBL.COMPOUND:CHEMBL822,DOID:12403
CHEMBL.COMPOUND:CHEMBL822,DOID:0050275
CHEMBL.COMPOUND:CHEMBL822,HP:0012203
CHEMBL.COMPOUND:CHEMBL822,DOID:9060
CHEMBL.COMPOUND:CHEMBL822,DOID:2058
CHEMBL.COMPOUND:CHEMBL822,HP:0002728
CHEMBL.COMPOUND:CHEMBL189,DOID:0060828
CHEMBL.COMPOUND:CHEMBL189,DOID:6000
CHEMBL.COMPOUND:CHEMBL189,HP:0001635
CHEMBL.COMPOUND:CHEMBL1201563,DOID:2377
CHEMBL.COMPOUND:CHEMBL637,DOID:0060145
CHEMBL.COMPOUND:CHEMBL637,HP:0012531
CHEMBL.COMPOUND:CHEMBL637,OMIM:143465
CHEMBL.COMPOUND:CHEMBL637,HP:0007018
CHEMBL.COMPOUND:CHEMBL637,DOID:10933
CHEMBL.COMPOUND:CHEMBL637,OMIM:164230
CHEMBL.COMPOUND:CHEMBL637,HP:0000722
CHEMBL.COMPOUND:CHEMBL637,OMIM:209850
CHEMBL.COMPOUND:CHEMBL637,DOID:0060867
CHEMBL.COMPOUND:CHEMBL637,DOID:12849
CHEMBL.COMPOUND:CHEMBL637,HP:0000717
CHEMBL.COMPOUND:CHEMBL637,HP:0000716
CHEMBL.COMPOUND:CHEMBL637,DOID:8544
CHEMBL.COMPOUND:CHEMBL2220442,HP:0001677
CHEMBL.COMPOUND:CHEMBL2220442,DOID:1168
CHEMBL.COMPOUND:CHEMBL2220442,HP:0010980
CHEMBL.COMPOUND:CHEMBL2220442,DOID:0090105
CHEMBL.COMPOUND:CHEMBL2220442,DOID:2487
CHEMBL.COMPOUND:CHEMBL2220442,DOID:2487
CHEMBL.COMPOUND:CHEMBL2220442,HP:0003124
CHEMBL.COMPOUND:CHEMBL645,HP:0004755
CHEMBL.COMPOUND:CHEMBL645,HP:0001681
CHEMBL.COMPOUND:CHEMBL645,DOID:0060828
CHEMBL.COMPOUND:CHEMBL645,DOID:6000
CHEMBL.COMPOUND:CHEMBL645,HP:0001635
CHEMBL.COMPOUND:CHEMBL645,DOID:11271
CHEMBL.COMPOUND:CHEMBL645,DOID:10763
CHEMBL.COMPOUND:CHEMBL645,DOID:9653
CHEMBL.COMPOUND:CHEMBL645,HP:0000822
CHEMBL.COMPOUND:CHEMBL645,DOID:5844
CHEMBL.COMPOUND:CHEMBL645,HP:0001658
CHEMBL.COMPOUND:CHEMBL1263,DOID:2841
CHEMBL.COMPOUND:CHEMBL1263,HP:0002099
CHEMBL.COMPOUND:CHEMBL1263,HP:0025428
CHEMBL.COMPOUND:CHEMBL814,HP:0000716
CHEMBL.COMPOUND:CHEMBL814,DOID:10933
CHEMBL.COMPOUND:CHEMBL814,OMIM:164230
CHEMBL.COMPOUND:CHEMBL814,HP:0000722
CHEMBL.COMPOUND:CHEMBL814,DOID:594
