source,target
ChEMBL:1405447,OMIM:613679
ChEMBL:1405447,DOID:2235
ChEMBL:1575,DOID:10283
ChEMBL:1575,HP:0100787
ChEMBL:1544,DOID:1781
ChEMBL:1544,HP:0100031
ChEMBL:1544,DOID:11634
ChEMBL:1544,OMIM:255900
ChEMBL:1544,DOID:7997
ChEMBL:1544,DOID:12839
ChEMBL:1544,DOID:757
ChEMBL:1544,DOID:12176
ChEMBL:1544,HP:0000853
ChEMBL:1544,DOID:7188
ChEMBL:1201139,DOID:1612
ChEMBL:1201139,HP:0100013
ChEMBL:1201139,HP:0002039
ChEMBL:1201139,HP:0004326
ChEMBL:1201139,DOID:1380
ChEMBL:559,DOID:0090105
ChEMBL:559,DOID:2487
ChEMBL:559,DOID:2487
ChEMBL:559,HP:0003124
ChEMBL:559,DOID:1168
ChEMBL:559,HP:0010980
ChEMBL:559,HP:0001677
ChEMBL:442,HP:0012199
ChEMBL:109,DOID:0110035
ChEMBL:109,DOID:0110036
ChEMBL:109,DOID:0110038
ChEMBL:109,DOID:0110039
ChEMBL:109,DOID:0110040
ChEMBL:109,DOID:0110041
ChEMBL:109,DOID:0110042
ChEMBL:109,DOID:0110043
ChEMBL:109,DOID:0110044
ChEMBL:109,DOID:0110045
ChEMBL:109,DOID:0110046
ChEMBL:109,DOID:0110047
ChEMBL:109,DOID:0110048
ChEMBL:109,DOID:0110049
ChEMBL:109,DOID:0110050
ChEMBL:109,DOID:0110051
ChEMBL:109,OMIM:104300
ChEMBL:109,DOID:10652
ChEMBL:109,HP:0002511
ChEMBL:109,DOID:3312
ChEMBL:109,HP:0007302
ChEMBL:109,DOID:1825
ChEMBL:109,DOID:0060172
ChEMBL:109,DOID:0050708
ChEMBL:109,HP:0002121
ChEMBL:109,HP:0011147
ChEMBL:109,DOID:12382
ChEMBL:1201558,DOID:8552
ChEMBL:1201558,DOID:0060761
ChEMBL:1201558,OMIM:608232
ChEMBL:1201558,HP:0005506
ChEMBL:1201558,DOID:9538
ChEMBL:1201558,DOID:9514
ChEMBL:1201558,OMIM:254500
ChEMBL:1201558,HP:0006775
ChEMBL:1201558,DOID:11168
ChEMBL:1201558,DOID:10265
ChEMBL:1201558,DOID:12392
ChEMBL:1201558,DOID:12021
ChEMBL:1201558,DOID:14258
ChEMBL:1201558,DOID:283
ChEMBL:1201558,DOID:285
ChEMBL:1201558,DOID:10901
ChEMBL:1201558,DOID:8997
ChEMBL:1201558,OMIM:263300
ChEMBL:1201558,HP:0200042
ChEMBL:1201558,DOID:1781
ChEMBL:1201558,HP:0100031
ChEMBL:1201558,DOID:8632
ChEMBL:1201558,HP:0100726
ChEMBL:1201558,DOID:7335
ChEMBL:1201558,DOID:10038
ChEMBL:1201558,DOID:10045
ChEMBL:1201558,DOID:10048
ChEMBL:1201558,DOID:0050928
ChEMBL:1201558,DOID:0050929
ChEMBL:1201558,DOID:6367
ChEMBL:1201558,DOID:8197
ChEMBL:1201558,DOID:4356
ChEMBL:1201558,DOID:1909
ChEMBL:1201558,HP:0002861
ChEMBL:1201558,HP:0012056
ChEMBL:1201558,DOID:8704
ChEMBL:1201558,DOID:6361
ChEMBL:1201558,DOID:4450
ChEMBL:1201558,DOID:6174
ChEMBL:1201558,DOID:0050387
ChEMBL:1201558,HP:0005584
ChEMBL:1201558,DOID:2047
ChEMBL:1201558,DOID:5133
ChEMBL:1201558,DOID:3165
ChEMBL:1201558,DOID:2412
ChEMBL:1201558,HP:0008069
ChEMBL:1266,DOID:4730
ChEMBL:1266,HP:0000246
ChEMBL:853,DOID:524
ChEMBL:853,DOID:635
ChEMBL:853,DOID:0050507
ChEMBL:853,DOID:0050510
ChEMBL:853,DOID:13734
ChEMBL:853,DOID:6045
ChEMBL:853,DOID:7498
ChEMBL:746,DOID:11204
ChEMBL:746,HP:0007879
ChEMBL:746,HP:0000989
ChEMBL:822,DOID:0050107
ChEMBL:822,DOID:0050108
ChEMBL:822,DOID:0050110
ChEMBL:822,DOID:0050111
ChEMBL:822,DOID:0050112
ChEMBL:822,DOID:0050113
ChEMBL:822,DOID:0050115
ChEMBL:822,DOID:0050098
ChEMBL:822,DOID:0050099
ChEMBL:822,DOID:0050100
ChEMBL:822,DOID:0050101
ChEMBL:822,DOID:0050102
ChEMBL:822,DOID:0050103
ChEMBL:822,DOID:0050104
ChEMBL:822,DOID:0050106
ChEMBL:822,DOID:12403
ChEMBL:822,DOID:0050275
ChEMBL:822,HP:0012203
ChEMBL:822,DOID:9060
ChEMBL:822,DOID:2058
ChEMBL:822,HP:0002728
ChEMBL:189,DOID:0060828
ChEMBL:189,DOID:6000
ChEMBL:189,HP:0001635
ChEMBL:1201563,DOID:2377
ChEMBL:637,DOID:0060145
ChEMBL:637,HP:0012531
ChEMBL:637,OMIM:143465
ChEMBL:637,HP:0007018
ChEMBL:637,DOID:10933
ChEMBL:637,OMIM:164230
ChEMBL:637,HP:0000722
