id,name,cuis
DOID:3869,childhood medulloblastoma,['C0278510']
DOID:11944,Trichomonas prostatitis,['C0153315']
DOID:8850,salivary gland cancer,['C0153362']
OMIM:609990,TRICHOSCYPHODYSPLASIA,['C1864943']
HP:0000303,Mandibular prognathia,"['C0399526', 'C4280644', 'C4280645', 'C0302501', 'C2227134']"
OMIM:613426,"CARDIOMYOPATHY, DILATED, 1S; CMD1S",['C1834481']
HP:0100955,Giant cell granuloma of mandible,['C4021912']
HP:0002323,Anencephaly,['C0002902']
HP:0000858,Menstrual irregularities,['C0156404']
DOID:540,strabismus,['C0029831']
OMIM:158350,COWDEN SYNDROME 1; CWS1,['C0018553']
OMIM:608233,HERMANSKY-PUDLAK SYNDROME 2; HPS2,['C1842362']
DOID:4235,spindle cell sarcoma,['C0205945']
HP:0004695,Calcaneal epiphyseal stippling,['C1861708']
HP:0031159,Thinning of Descemet membrane,['C4477011']
OMIM:615721,RENAL HYPODYSPLASIA/APLASIA 2; RHDA2,['C3810359']
HP:0003165,Elevated circulating parathyroid hormone level,['C0857973']
HP:0001528,Hemihypertrophy,['C0332890']
DOID:13565,neuroaspergillosis,['C0752342']
OMIM:147900,"JOINT LAXITY, FAMILIAL",['C0268349']
HP:0001095,Hypertensive retinopathy,['C0152132']
OMIM:222690,DIBASIC AMINO ACIDURIA I,['C2673736']
OMIM:613820,NEPHRONOPHTHISIS 12; NPHP12,"['C3151186', 'C3279203']"
HP:0004970,Ascending aortic dilation,['C0345049']
OMIM:159001,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B; LGMD1B",['C1834653']
DOID:289,endometriosis,['C0014175']
OMIM:137210,"GASTRIC VOLVULUS, INTRATHORACIC",['C1850902']
DOID:5208,malignant struma ovarii,['C0334525']
DOID:0050873,follicular lymphoma,['C0024301']
DOID:12120,pulmonary alveolar proteinosis,['C0034050']
HP:0008967,Exercise-induced muscle stiffness,['C1855579']
DOID:0110047,Alzheimer's disease 14,"['C1970144', 'C0002395']"
DOID:0110578,autosomal dominant nonsyndromic deafness 52,"['C0596142', 'C1527180', 'C3711374', 'C0011053']"
OMIM:609220,BRUCK SYNDROME 2; BRKS2,['C1836602']
HP:0010517,Ectopic thymus tissue,['C4023795']
DOID:0060153,topographical agnosia,['C0271189']
HP:0000737,Irritability,['C2700617']
HP:0025526,Psoriasiform lesion,"['C4476830', 'C4476831']"
DOID:11981,morbid obesity,['C0028756']
HP:0009573,Patchy sclerosis of the middle phalanx of the 2nd finger,['C4024285']
OMIM:608814,"LATERAL SEMICIRCULAR CANAL MALFORMATION, FAMILIAL, WITH EXTERNAL AND MIDDLE EAR ABNORMALITIES",['C1837314']
HP:0001944,Dehydration,['C0011175']
HP:0011743,Adrenal gland agenesis,['C0266273']
HP:0009598,Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metatcarpal,['C4024274']
