"id","name"
"GO:1904636","response to ionomycin"
"GO:0014819","regulation of skeletal muscle contraction"
"GO:0046361","2-oxobutyrate metabolic process"
"GO:0035899","negative regulation of blood coagulation in other organism"
"GO:0046951","ketone body biosynthetic process"
"GO:0051790","short-chain fatty acid biosynthetic process"
"GO:0015800","acidic amino acid transport"
"GO:1901897","regulation of relaxation of cardiac muscle"
"GO:0015885","5-formyltetrahydrofolate transport"
"GO:0061389","regulation of direction of cell growth"
"GO:1903690","negative regulation of wound healing, spreading of epidermal cells"
"GO:0006685","sphingomyelin catabolic process"
"GO:1902145","regulation of response to cell cycle checkpoint signaling"
"GO:1903206","negative regulation of hydrogen peroxide-induced cell death"
"GO:0010591","regulation of lamellipodium assembly"
"GO:0045366","regulation of interleukin-13 biosynthetic process"
"GO:0090720","primary adaptive immune response"
"GO:1902251","negative regulation of erythrocyte apoptotic process"
"GO:0045528","regulation of interleukin-24 biosynthetic process"
"GO:0009143","nucleoside triphosphate catabolic process"
"GO:1900067","regulation of cellular response to alkaline pH"
"GO:0045081","negative regulation of interleukin-10 biosynthetic process"
"GO:0010646","regulation of cell communication"
"GO:0060292","long term synaptic depression"
"GO:1905881","positive regulation of oogenesis"
"GO:0019605","butyrate metabolic process"
"GO:2000193","positive regulation of fatty acid transport"
"GO:0009647","skotomorphogenesis"
"GO:1904251","regulation of bile acid metabolic process"
"GO:0045384","regulation of interleukin-19 biosynthetic process"
"GO:0019090","mitochondrial rRNA export from mitochondrion"
"GO:0006085","acetyl-CoA biosynthetic process"
"GO:0000101","sulfur amino acid transport"
"GO:0002404","antigen sampling in mucosal-associated lymphoid tissue"
"GO:1900259","regulation of RNA-directed 5'-3' RNA polymerase activity"
"GO:0048631","regulation of skeletal muscle tissue growth"
"GO:0071689","muscle thin filament assembly"
"GO:0060237","regulation of fungal-type cell wall organization"
"GO:0000272","polysaccharide catabolic process"
"GO:2000236","negative regulation of tRNA processing"
"GO:1905613","regulation of developmental vegetative growth"
"GO:0009594","detection of nutrient"
"GO:0031344","regulation of cell projection organization"
"GO:2000567","regulation of memory T cell activation"
"GO:0052548","regulation of endopeptidase activity"
"GO:1902423","regulation of attachment of mitotic spindle microtubules to kinetochore"
"GO:0019687","pyruvate biosynthetic process from acetate"
"GO:0055097","high density lipoprotein particle mediated signaling"
"GO:1904322","cellular response to forskolin"
"GO:0035528","UDP-N-acetylglucosamine biosynthesis involved in chitin biosynthesis"
"GO:0060737","prostate gland morphogenetic growth"
"GO:1903913","regulation of fusion of virus membrane with host plasma membrane"
"GO:0031953","negative regulation of protein autophosphorylation"
"GO:0045777","positive regulation of blood pressure"
"GO:1904078","positive regulation of estrogen biosynthetic process"
"GO:0097751","spore-bearing structure formation"
"GO:0031125","rRNA 3'-end processing"
"GO:1903023","regulation of ascospore-type prospore membrane assembly"
"GO:0048459","floral whorl structural organization"
"GO:1903954","positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization"
"GO:0010901","regulation of very-low-density lipoprotein particle remodeling"
"GO:0070253","somatostatin secretion"
"GO:1901223","negative regulation of NIK/NF-kappaB signaling"
"GO:0007541","sex determination, primary response to X:A ratio"
"GO:1903171","carbon dioxide homeostasis"
"GO:0045871","negative regulation of rhodopsin gene expression"
"GO:0051339","regulation of lyase activity"
"GO:0032455","nerve growth factor processing"
"GO:1903118","urate homeostasis"
"GO:0010372","positive regulation of gibberellin biosynthetic process"
"GO:0043165","Gram-negative-bacterium-type cell outer membrane assembly"
"GO:0050686","negative regulation of mRNA processing"
"GO:0019475","L-lysine catabolic process to acetate"
"GO:1901911","adenosine 5'-(hexahydrogen pentaphosphate) catabolic process"
"GO:0002121","inter-male aggressive behavior"
"GO:1905371","ceramide phosphoethanolamine metabolic process"
"GO:0070093","negative regulation of glucagon secretion"
"GO:0070507","regulation of microtubule cytoskeleton organization"
"GO:0007265","Ras protein signal transduction"
"GO:0007050","cell cycle arrest"
"GO:1903329","regulation of iron-sulfur cluster assembly"
"GO:0046519","sphingoid metabolic process"
"GO:0001178","regulation of transcriptional start site selection at RNA polymerase II promoter"
"GO:1903385","regulation of homophilic cell adhesion"
"GO:0044779","meiotic spindle checkpoint"
"GO:1905793","protein localization to pericentriolar material"
"GO:0050822","peptide stabilization"
"GO:1901913","regulation of capsule organization"
"GO:0044879","morphogenesis checkpoint"
"GO:1903456","positive regulation of androst-4-ene-3,17-dione biosynthetic process"
"GO:0036331","avascular cornea development in camera-type eye"
"GO:0043648","dicarboxylic acid metabolic process"
"GO:0060884","clearance of cells from fusion plate"
"GO:0060493","mesenchymal-endodermal cell signaling involved in lung induction"
"GO:0010072","primary shoot apical meristem specification"
"GO:0006461","protein complex assembly"
"GO:0045704","regulation of salivary gland boundary specification"
"GO:0033519","phytyl diphosphate metabolic process"
"GO:1902706","hexose catabolic process to acetate"
"GO:0001754","eye photoreceptor cell differentiation"
"GO:0002737","negative regulation of plasmacytoid dendritic cell cytokine production"
"GO:0044743","protein transmembrane import into intracellular organelle"
"GO:0030707","ovarian follicle cell development"
"GO:0120061","negative regulation of gastric emptying"
"GO:0050804","modulation of chemical synaptic transmission"
"GO:0043012","regulation of fusion of sperm to egg plasma membrane"
"GO:0071609","chemokine (C-C motif) ligand 5 production"
"GO:0034153","positive regulation of toll-like receptor 6 signaling pathway"
"GO:0060142","regulation of syncytium formation by plasma membrane fusion"
"GO:0019043","establishment of viral latency"
"GO:0046902","regulation of mitochondrial membrane permeability"
"GO:0061635","regulation of protein complex stability"
"GO:0045176","apical protein localization"
"GO:1990571","meiotic centromere clustering"
"GO:2000939","regulation of plant-type cell wall cellulose catabolic process"
"GO:0099075","mitochondrion-derived vesicle mediated transport"
"GO:0033076","isoquinoline alkaloid metabolic process"
"GO:0048508","embryonic meristem development"
"GO:0043180","rhythmic inhibition"
"GO:1904437","positive regulation of transferrin receptor binding"
"GO:1900104","regulation of hyaluranon cable assembly"
"GO:0034124","regulation of MyD88-dependent toll-like receptor signaling pathway"
"GO:0030003","cellular cation homeostasis"
"GO:0045601","regulation of endothelial cell differentiation"
"GO:0070757","interleukin-35-mediated signaling pathway"
"GO:0010451","floral meristem growth"
"GO:0032099","negative regulation of appetite"
"GO:0042386","hemocyte differentiation"
"GO:0006182","cGMP biosynthetic process"
"GO:0009231","riboflavin biosynthetic process"
"GO:2001223","negative regulation of neuron migration"
"GO:1904300","positive regulation of transcytosis"
"GO:0035278","miRNA mediated inhibition of translation"
"GO:0097274","urea homeostasis"
"GO:0106001","intestinal hexose absorption"
"GO:0009642","response to light intensity"
"GO:1901891","regulation of cell septum assembly"
"GO:0035266","meristem growth"
"GO:0031620","regulation of fever generation"
"GO:1901909","diadenosine hexaphosphate catabolic process"
"GO:0036103","Kdo2-lipid A metabolic process"
"GO:0080112","seed growth"
"GO:0045338","farnesyl diphosphate metabolic process"
"GO:1902047","polyamine transmembrane transport"
"GO:1901632","regulation of synaptic vesicle membrane organization"
"GO:0010228","vegetative to reproductive phase transition of meristem"
"GO:0036208","negative regulation of histone gene expression"
"GO:1900004","negative regulation of serine-type endopeptidase activity"
"GO:0070407","oxidation-dependent protein catabolic process"
"GO:0007497","posterior midgut development"
"GO:0072362","regulation of glycolytic process by negative regulation of transcription from RNA polymerase II promoter"
"GO:0060515","prostate field specification"
"GO:0140042","lipid droplet formation"
"GO:0009648","photoperiodism"
"GO:0034127","regulation of MyD88-independent toll-like receptor signaling pathway"
"GO:2001009","regulation of plant-type cell wall cellulose biosynthetic process"
"GO:0038163","thrombopoietin-mediated signaling pathway"
"GO:0050917","sensory perception of umami taste"
"GO:0051129","negative regulation of cellular component organization"
"GO:0007195","adenylate cyclase-inhibiting dopamine receptor signaling pathway"
"GO:0050711","negative regulation of interleukin-1 secretion"
"GO:0030476","ascospore wall assembly"
"GO:0033483","gas homeostasis"
"GO:0032014","positive regulation of ARF protein signal transduction"
"GO:1990918","double-strand break repair involved in meiotic recombination"
"GO:2001186","negative regulation of CD8-positive, alpha-beta T cell activation"
"GO:0051971","positive regulation of transmission of nerve impulse"
"GO:0007204","positive regulation of cytosolic calcium ion concentration"
"GO:0002200","somatic diversification of immune receptors"
"GO:1903772","regulation of viral budding via host ESCRT complex"
"GO:0007294","germarium-derived oocyte fate determination"
"GO:0010252","auxin homeostasis"
"GO:0002420","natural killer cell mediated cytotoxicity directed against tumor cell target"
"GO:2000654","regulation of cellular response to testosterone stimulus"
"GO:0021937","cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation"
"GO:0034058","endosomal vesicle fusion"
"GO:0055017","cardiac muscle tissue growth"
"GO:0021526","medial motor column neuron differentiation"
"GO:1901075","negative regulation of engulfment of apoptotic cell"
"GO:0048266","behavioral response to pain"
"GO:1903391","regulation of adherens junction organization"
"GO:0097337","response to ziprasidone"
"GO:0010705","meiotic DNA double-strand break processing involved in reciprocal meiotic recombination"
"GO:0099145","regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane"
"GO:0051130","positive regulation of cellular component organization"
"GO:0097273","creatinine homeostasis"
"GO:1990762","cytoplasmic alanyl-tRNA aminoacylation"
"GO:1900194","negative regulation of oocyte maturation"
"GO:0045654","positive regulation of megakaryocyte differentiation"
"GO:1905468","regulation of clathrin-coated pit assembly"
"GO:0051884","regulation of timing of anagen"
"GO:0042045","epithelial fluid transport"
"GO:1902699","pentose catabolic process to acetate"
"GO:0002301","CD4-positive, alpha-beta intraepithelial T cell differentiation"
"GO:0032812","positive regulation of epinephrine secretion"
"GO:1903774","positive regulation of viral budding via host ESCRT complex"
"GO:0002440","production of molecular mediator of immune response"
"GO:0048504","regulation of timing of animal organ formation"
"GO:0090214","spongiotrophoblast layer developmental growth"
"GO:0086100","endothelin receptor signaling pathway"
"GO:0045733","acetate catabolic process"
"GO:0042446","hormone biosynthetic process"
"GO:1901907","diadenosine pentaphosphate catabolic process"
"GO:0002252","immune effector process"
"GO:0048219","inter-Golgi cisterna vesicle-mediated transport"
"GO:0033986","response to methanol"
"GO:0001890","placenta development"
"GO:0036107","4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate metabolic process"
