R-HSA-5693571	Nonhomologous End-Joining (NHEJ)
R-HSA-1266695	Interleukin-7 signaling
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs
R-HSA-156842	Eukaryotic Translation Elongation
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-195253	Degradation of beta-catenin by the destruction complex
R-HSA-200425	Import of palmitoyl-CoA into the mitochondrial matrix
R-HSA-2978092	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate
R-HSA-109606	Intrinsic Pathway for Apoptosis
R-HSA-112409	RAF-independent MAPK1/3 activation
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-5358751	S45 mutants of beta-catenin aren't phosphorylated
R-HSA-1222556	ROS, RNS production in phagocytes
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins
R-HSA-5579007	Defective ACY1 causes encephalopathy
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation
R-HSA-2160456	Phenylketonuria
R-HSA-8937144	Aryl hydrocarbon receptor signalling
R-HSA-5619066	Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)
R-HSA-5625900	RHO GTPases activate CIT
R-HSA-70370	Galactose catabolism
R-HSA-5602680	MyD88 deficiency (TLR5)
R-HSA-5339700	TCF7L2 mutants don't bind CTBP
R-HSA-75105	Fatty acyl-CoA biosynthesis
R-HSA-189200	Cellular hexose transport
R-HSA-5619108	Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)
R-HSA-112307	Transmission across Electrical Synapses 
R-HSA-140534	Ligand-dependent caspase activation
R-HSA-163685	Integration of energy metabolism
R-HSA-380994	ATF4 activates genes
R-HSA-1187000	Fertilization
R-HSA-2206280	MPS IX - Natowicz syndrome
R-HSA-5602571	TRAF3 deficiency - HSE
R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)
R-HSA-5682910	LGI-ADAM interactions
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases
R-HSA-500792	GPCR ligand binding
R-HSA-5659735	Defective SLC6A19 causes Hartnup disorder (HND)
R-HSA-167060	NGF processing
R-HSA-5637812	Signaling by EGFRvIII in Cancer
R-HSA-5602415	UNC93B1 deficiency - HSE
R-HSA-983189	Kinesins
R-HSA-6793080	rRNA modification in the mitochondrion
R-HSA-8985947	Interleukin-9 signaling
R-HSA-499943	Interconversion of nucleotide di- and triphosphates
R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides
R-HSA-168253	Host Interactions with Influenza Factors
R-HSA-9018683	Biosynthesis of DPA-derived SPMs
R-HSA-1296071	Potassium Channels
R-HSA-75896	Plasmalogen biosynthesis
R-HSA-8878166	Transcriptional regulation by RUNX2
R-HSA-5579005	Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)
R-HSA-8853659	RET signaling
R-HSA-2142700	Synthesis of Lipoxins (LX)
R-HSA-5619110	Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)
R-HSA-977347	Serine biosynthesis
R-HSA-75072	mRNA Editing
R-HSA-6791055	TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P
R-HSA-5609974	Defective PGM1 causes PGM1-CDG (CDG1t)
R-HSA-5619111	Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)
R-HSA-4570464	SUMOylation of RNA binding proteins
R-HSA-5467333	APC truncation mutants are not K63 polyubiquitinated
R-HSA-1592389	Activation of Matrix Metalloproteinases
R-HSA-3000170	Syndecan interactions
R-HSA-4717374	Defective DPM1 causes DPM1-CDG (CDG-1e)
R-HSA-5658034	HHAT G278V abrogates palmitoylation of Hh-Np
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures
R-HSA-6791462	TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P
R-HSA-3359454	Defective TCN2 causes hereditary megaloblastic anemia
R-HSA-5619058	Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)
R-HSA-3656243	Defective ST3GAL3 causes MCT12 and EIEE15
R-HSA-1442490	Collagen degradation
R-HSA-1368071	NR1D1 (REV-ERBA) represses gene expression
R-HSA-1980148	Signaling by NOTCH3
R-HSA-3595177	Defective CHSY1 causes TPBS
R-HSA-75892	Platelet Adhesion to exposed collagen
R-HSA-5602498	MyD88 deficiency (TLR2/4)
R-HSA-9027604	Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives
R-HSA-5638302	Signaling by Overexpressed Wild-Type EGFR in Cancer
R-HSA-5619045	Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)
R-HSA-5693567	HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)
R-HSA-5083632	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)
R-HSA-6806003	Regulation of TP53 Expression and Degradation
R-HSA-8853334	Signaling by FGFR3 fusions in cancer
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
R-HSA-5619087	Defective SLC12A3 causes Gitelman syndrome (GS)
R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK
R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance
R-HSA-2206305	MPS IIID - Sanfilippo syndrome D
R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
R-HSA-201451	Signaling by BMP
