type	curie_id	term
biological_process	GO:0003009	skeletal muscle contraction
biological_process	GO:0007165	signal transduction
biological_process	GO:0008283	cell proliferation
biological_process	GO:0036462	TRAIL-activated apoptotic signaling pathway
biological_process	GO:0051301	cell division
biological_process	GO:0006412	protein biosynthesis
biological_process	GO:0048870	cell movement
biological_process	GO:0019079	viral replication
biological_process	GO:0035810	diuresis
biological_process	GO:0006915	apoptosis
biological_process	GO:0051324	prophase
biological_process	GO:0006260	DNA replication
biological_process	GO:0015075	ion transporter activity
biological_process	GO:0042310	vasoconstriction
anatont_anatomy	UBERON:0000014	zone of skin
anatont_anatomy	UBERON:0000018	compound eye
anatont_anatomy	UBERON:0000019	camera-type eye
anatont_anatomy	UBERON:0000029	lymph node
anatont_anatomy	UBERON:0000081	metanephros
anatont_anatomy	UBERON:0000082	adult mammalian kidney
anatont_anatomy	UBERON:0000178	blood
anatont_anatomy	UBERON:0000310	breast
anatont_anatomy	UBERON:0000945	stomach
anatont_anatomy	UBERON:0000948	heart
anatont_anatomy	UBERON:0000955	brain
anatont_anatomy	UBERON:0000970	eye
anatont_anatomy	UBERON:0000974	neck
anatont_anatomy	UBERON:0000992	female gonad
anatont_anatomy	UBERON:0000995	uterus
anatomy	UBERON:0001017	central nervous system
anatomy	UBERON:0001017	central nervous system
anatomy	UBERON:0001155	colon
anatomy	UBERON:0001348	brown adipose tissue
anatomy	UBERON:0001637	artery
anatomy	UBERON:0001824	mucose of larynx
anatomy	UBERON:0001911	mammary gland
anatomy	UBERON:0001994	hyaline cartilage tissue
anatomy	UBERON:0002012	pulmonary artery
anatomy	UBERON:0002097	skin of body
anatomy	UBERON:0002107	liver
anatomy	UBERON:0002113	kidney
anatomy	UBERON:0002196	adenohypophysis
anatomy	UBERON:0002333	pulmonary trunk
anatomy	UBERON:0002465	lymphoid system
anatomy	UBERON:0003714	neural tissue
anatomy	UBERON:0004572	arterial system
anatomy	UBERON:0004785	respiratory system mucosa
anatomy	UBERON:0004816	larynx epithelium
anatomy	UBERON:0006558	lymphatic part of lymphoid system
anatomy	UBERON:0009564	distal limb integumentary appendage
anatomy	UBERON:0010996	articular cartilage of joint
anatomy	UBERON:6003624	adult brain
