	Drug	Condition	CURIE_ID
0	BUTYLSCOPOLAMINE	Abdominal Pain	DOID:0060164
1	ADAPALENE	Acne Vulgaris	DOID:6543
2	NADIFLOXACIN	Acne Vulgaris	DOID:6543
3	TAZAROTENE	Acne Vulgaris	DOID:6543
4	TICAGRELOR	Acute Coronary Syndrome	DOID:3393
5	TIROFIBAN	Acute Coronary Syndrome	DOID:3393
6	MERCAPTOPURINE	Precursor Cell Lymphoblastic Leukemia-Lymphoma	DOID:0080147
7	IDARUBICIN	Leukemia, Myeloid, Acute	DOID:9119
8	NIMESULIDE	Acute Pain	DOID:0060164
9	TAMIBAROTENE	Leukemia, Promyelocytic, Acute	DOID:0060318
10	FLUDROCORTISONE	Addison Disease	DOID:13774
11	DESOXYCORTONE	Addison Disease	DOID:13774
12	ACAMPROSATE	Alcoholism	DOID:1574
13	METADOXINE	Hepatitis, Alcoholic	DOID:12351
14	NALMEFENE	Alcoholism	DOID:1574
15	NEDOCROMIL	Conjunctivitis, Allergic	DOID:11204
16	PROMETHAZINE	Conjunctivitis, Allergic	DOID:11204
17	PYRILAMINE	Rhinitis, Allergic	DOID:4481
18	RUPATADINE	Rhinitis, Allergic	DOID:4481
19	TRIPROLIDINE	Hypersensitivity	DOID:1205
20	METHSCOPOLAMINE	Hypersensitivity	DOID:1205
21	BAMIPINE	Hypersensitivity	DOID:1205
22	PHENINDAMINE	Hypersensitivity	DOID:1205
23	DEXCHLORPHENIRAMINE	Hypersensitivity	DOID:1205
24	TACRINE	Alzheimer Disease	DOID:10652
25	MEMANTINE	Alzheimer Disease	DOID:10652
26	CYCLANDELATE	Alzheimer Disease	DOID:10652
27	GALANTAMINE	Alzheimer Disease	DOID:10652
28	PROGESTERONE	Amenorrhea	DOID:13938
29	GONADORELIN	Amenorrhea	DOID:13938
30	RILUZOLE	Amyotrophic Lateral Sclerosis	DOID:332
31	ALFATRADIOL	Alopecia	DOID:987
32	FOLIC ACID	Anemia, Megaloblastic	DOID:13382
33	SEVOFLURANE	Anesthesia, General	
34	PIPEROCAINE	Anesthetics, Local	
35	ESATENOLOL	Angina Pectoris	DOID:8805
36	ETAFENONE	Angina Pectoris	DOID:8805
37	TROLNITRATE	Angina Pectoris	DOID:8805
38	OXYFEDRINE	Angina Pectoris	DOID:8805
39	PROPRANOLOL	Angina Pectoris	DOID:8805
40	EFONIDIPINE	Angina Pectoris	DOID:8805
41	GLUTODINE	Angioedema	DOID:1558
42	STANOZOLOL	Angioedema	DOID:1558
43	ICATIBANT	Angioedemas, Hereditary	DOID:14735
44	DRONABINOL	Anorexia	DOID:8689
45	URIDINE	Antimetabolites, Antineoplastic	
46	TRYPTOPHAN	Anxiety	DOID:2030
47	MEPROBAMATE	Anxiety	DOID:2030
48	CHLORDIAZEPOXIDE	Anxiety	DOID:2030
49	HALOXAZOLAM	Anxiety	DOID:2030
50	PRAZEPAM	Anxiety	DOID:2030
51	FLUDIAZEPAM	Anxiety	DOID:2030
52	OXYMORPHONE	Anxiety	DOID:2030
53	BARBEXACLONE	Anxiety	DOID:2030
54	ESCITALOPRAM	Anxiety Disorders	DOID:2030
55	LORAZEPAM	Anxiety Disorders	DOID:2030
56	TRIFLUOPERAZINE	Anxiety Disorders	DOID:2030
57	BUSPIRONE	Anxiety Disorders	DOID:2030
58	ALPRAZOLAM	Anxiety Disorders	DOID:2030
59	DOXEPIN	Anxiety Disorders	DOID:2030
60	NORDAZEPAM	Anxiety Disorders	DOID:2030
61	XYLAZINE	Anxiety Disorders	DOID:2030
62	ELTROMBOPAG	Anemia, Aplastic	DOID:12449
63	MORINIDAZOLE	Appendicitis	DOID:8337
64	SPARTEINE	Arrhythmias, Cardiac	DOID:114
65	DESLANOSIDE	Arrhythmias, Cardiac	DOID:114
66	FLECAINIDE	Arrhythmias, Cardiac	DOID:114
67	VERAPAMIL	Arrhythmias, Cardiac	DOID:114
68	DISOPYRAMIDE	Arrhythmias, Cardiac	DOID:114
69	INDOMETHACIN	Arthritis	DOID:848
70	PROBENECID	Arthritis, Gouty	DOID:13189
71	SULFINPYRAZONE	Arthritis, Gouty	DOID:13189
72	KETOPROFEN	Arthritis, Rheumatoid	DOID:7148
73	PIROXICAM	Arthritis, Rheumatoid	DOID:7148
74	IGURATIMOD	Arthritis, Rheumatoid	DOID:7148
75	TOFACITINIB	Arthritis, Rheumatoid	DOID:7148
76	SULFASALAZINE	Arthritis, Rheumatoid	DOID:7148
77	CELECOXIB	Arthritis, Rheumatoid	DOID:7148
78	MELOXICAM	Arthritis, Rheumatoid	DOID:7148
79	MERETHOXYLLINE	Ascites	HP:0001541
80	CHLORCYCLIZINE	Asthma	DOID:2841
81	HEXOPRENALINE	Asthma	DOID:2841
82	SERATRODAST	Asthma	DOID:2841
83	BITOLTEROL	Asthma	DOID:2841
84	OXITROPIUM	Asthma	DOID:2841
85	PROXYPHYLLINE	Asthma	DOID:2841
86	CLENBUTEROL	Asthma	DOID:2841
87	TRETOQUINOL	Asthma	DOID:2841
88	ZILEUTON	Asthma	DOID:2841
89	CLORPRENALINE	Asthma	DOID:2841
90	DYPHYLLINE	Asthma	DOID:2841
91	DOXOFYLLINE	Asthma	DOID:2841
92	REPIRINAST	Asthma	DOID:2841
93	SALMETEROL	Asthma	DOID:2841
94	CLOPIDOGREL	Atherosclerosis	DOID:1936
95	PYRICARBATE	Atherosclerosis	DOID:1936
96	SULCONAZOLE	Tinea Pedis	DOID:12403
97	EDOXABAN	Atrial Fibrillation	DOID:0060224
98	OUABAIN	Atrial Fibrillation	DOID:0060224
99	DIGOXIN	Atrial Fibrillation	DOID:0060224
100	IBUTILIDE	Atrial Fibrillation	DOID:0060224
101	VERNAKALANT	Atrial Fibrillation	DOID:0060224
102	ATOMOXETINE	Attention Deficit Disorder with Hyperactivity	DOID:1094
103	DEXMETHYLPHENIDATE	Attention Deficit Disorder with Hyperactivity	DOID:1094
104	IBUPROFEN	Back Pain	DOID:0060164
105	PELUBIPROFEN	Back Pain	DOID:0060164
106	ROLITETRACYCLINE	Bacterial Infections	DOID:874
107	TETRACYCLINE	Bacterial Infections	DOID:874
108	CEFPIRAMIDE	Bacterial Infections	DOID:874
109	ISEPAMICIN	Bacterial Infections	DOID:874
110	CEFADROXIL	Bacterial Infections	DOID:874
111	CEFUROXIME	Bacterial Infections	DOID:874
112	SISOMICIN	Bacterial Infections	DOID:874
113	CYCLACILLIN	Bacterial Infections	DOID:874
114	LATAMOXEF	Bacterial Infections	DOID:874
115	CEFTERAM	Bacterial Infections	DOID:874
116	LENAMPICILLIN	Bacterial Infections	DOID:874
117	FLEROXACIN	Bacterial Infections	DOID:874
118	MEZLOCILLIN	Bacterial Infections	DOID:874
119	AZLOCILLIN	Bacterial Infections	DOID:874
120	CEPHALEXIN	Bacterial Infections	DOID:874
