Drug	Condition
BUTYLSCOPOLAMINE	Abdominal Pain
ADAPALENE	Acne Vulgaris
NADIFLOXACIN	Acne Vulgaris
TAZAROTENE	Acne Vulgaris
TICAGRELOR	Acute Coronary Syndrome
TIROFIBAN	Acute Coronary Syndrome
MERCAPTOPURINE	Precursor Cell Lymphoblastic Leukemia-Lymphoma
IDARUBICIN	Leukemia, Myeloid, Acute
NIMESULIDE	Acute Pain
TAMIBAROTENE	Leukemia, Promyelocytic, Acute
FLUDROCORTISONE	Addison Disease
DESOXYCORTONE	Addison Disease
ACAMPROSATE	Alcoholism
METADOXINE	Hepatitis, Alcoholic
NALMEFENE	Alcoholism
NEDOCROMIL	Conjunctivitis, Allergic
PROMETHAZINE	Conjunctivitis, Allergic
PYRILAMINE	Rhinitis, Allergic
RUPATADINE	Rhinitis, Allergic
TRIPROLIDINE	Hypersensitivity
METHSCOPOLAMINE	Hypersensitivity
BAMIPINE	Hypersensitivity
PHENINDAMINE	Hypersensitivity
DEXCHLORPHENIRAMINE	Hypersensitivity
TACRINE	Alzheimer Disease
MEMANTINE	Alzheimer Disease
CYCLANDELATE	Alzheimer Disease
GALANTAMINE	Alzheimer Disease
PROGESTERONE	Amenorrhea
GONADORELIN	Amenorrhea
RILUZOLE	Amyotrophic Lateral Sclerosis
ALFATRADIOL	Alopecia
FOLIC ACID	Anemia, Megaloblastic
SEVOFLURANE	Anesthesia, General
PIPEROCAINE	Anesthetics, Local
ESATENOLOL	Angina Pectoris
ETAFENONE	Angina Pectoris
TROLNITRATE	Angina Pectoris
OXYFEDRINE	Angina Pectoris
PROPRANOLOL	Angina Pectoris
EFONIDIPINE	Angina Pectoris
GLUTODINE	Angioedema
STANOZOLOL	Angioedema
ICATIBANT	Angioedemas, Hereditary
DRONABINOL	Anorexia
URIDINE	Antimetabolites, Antineoplastic
TRYPTOPHAN	Anxiety
MEPROBAMATE	Anxiety
CHLORDIAZEPOXIDE	Anxiety
HALOXAZOLAM	Anxiety
PRAZEPAM	Anxiety
FLUDIAZEPAM	Anxiety
OXYMORPHONE	Anxiety
BARBEXACLONE	Anxiety
ESCITALOPRAM	Anxiety Disorders
LORAZEPAM	Anxiety Disorders
TRIFLUOPERAZINE	Anxiety Disorders
BUSPIRONE	Anxiety Disorders
ALPRAZOLAM	Anxiety Disorders
DOXEPIN	Anxiety Disorders
NORDAZEPAM	Anxiety Disorders
XYLAZINE	Anxiety Disorders
ELTROMBOPAG	Anemia, Aplastic
MORINIDAZOLE	Appendicitis
SPARTEINE	Arrhythmias, Cardiac
DESLANOSIDE	Arrhythmias, Cardiac
FLECAINIDE	Arrhythmias, Cardiac
VERAPAMIL	Arrhythmias, Cardiac
DISOPYRAMIDE	Arrhythmias, Cardiac
INDOMETHACIN	Arthritis
PROBENECID	Arthritis, Gouty
SULFINPYRAZONE	Arthritis, Gouty
KETOPROFEN	Arthritis, Rheumatoid
PIROXICAM	Arthritis, Rheumatoid
IGURATIMOD	Arthritis, Rheumatoid
TOFACITINIB	Arthritis, Rheumatoid
SULFASALAZINE	Arthritis, Rheumatoid
CELECOXIB	Arthritis, Rheumatoid
MELOXICAM	Arthritis, Rheumatoid
MERETHOXYLLINE	Ascites
CHLORCYCLIZINE	Asthma
HEXOPRENALINE	Asthma
SERATRODAST	Asthma
BITOLTEROL	Asthma
OXITROPIUM	Asthma
PROXYPHYLLINE	Asthma
CLENBUTEROL	Asthma
TRETOQUINOL	Asthma
ZILEUTON	Asthma
CLORPRENALINE	Asthma
DYPHYLLINE	Asthma
DOXOFYLLINE	Asthma
REPIRINAST	Asthma
SALMETEROL	Asthma
CLOPIDOGREL	Atherosclerosis
PYRICARBATE	Atherosclerosis
SULCONAZOLE	Tinea Pedis
EDOXABAN	Atrial Fibrillation
OUABAIN	Atrial Fibrillation
DIGOXIN	Atrial Fibrillation
