prefix	MIM_number	preferred_title	alternative_title	symbols
NULL	100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT		
Percent	100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	ANEURYSM, ABDOMINAL AORTIC; AAA;; ABDOMINAL AORTIC ANEURYSM	
Number Sign	100100	PRUNE BELLY SYNDROME; PBS	ABDOMINAL MUSCLES, ABSENCE OF, WITH URINARY TRACT ABNORMALITY AND CRYPTORCHIDISM;; EAGLE-BARRETT SYNDROME; EGBRS	
NULL	100200	ABDUCENS PALSY		
Number Sign	100300	ADAMS-OLIVER SYNDROME 1; AOS1	AOS;; ABSENCE DEFECT OF LIMBS, SCALP, AND SKULL;; CONGENITAL SCALP DEFECTS WITH DISTAL LIMB REDUCTION ANOMALIES;; APLASIA CUTIS CONGENITA WITH TERMINAL TRANSVERSE LIMB DEFECTS	APLASIA CUTIS CONGENITA, CONGENITAL HEART DEFECT, AND FRONTONASAL CYSTS, INCLUDED
Percent	100600	ACANTHOSIS NIGRICANS		
NULL	100675	ACETAMINOPHEN METABOLISM		
NULL	100700	ACHARD SYNDROME		
Number Sign	100800	ACHONDROPLASIA; ACH		
Percent	100820	ACHOO SYNDROME	AUTOSOMAL DOMINANT COMPELLING HELIOOPHTHALMIC OUTBURST SYNDROME;; PHOTIC SNEEZE REFLEX;; SNEEZING FROM LIGHT EXPOSURE;; PEROUTKA SNEEZE	
Number Sign	101000	NEUROFIBROMATOSIS, TYPE II; NF2	NEUROFIBROMATOSIS, CENTRAL TYPE;; ACOUSTIC SCHWANNOMAS, BILATERAL;; BILATERAL ACOUSTIC NEUROFIBROMATOSIS; BANF;; ACOUSTIC NEURINOMA, BILATERAL; ACN	
NULL	101120	ACROCEPHALOPOLYSYNDACTYLY TYPE III	ACPS III;; ACPS WITH LEG HYPOPLASIA;; SAKATI-NYHAN SYNDROME	
Number Sign	101200	APERT SYNDROME	ACROCEPHALOSYNDACTYLY, TYPE I; ACS1;; ACS I	APERT-CROUZON DISEASE, INCLUDED;; ACROCEPHALOSYNDACTYLY, TYPE II, INCLUDED;; ACS II, INCLUDED;; VOGT CEPHALODACTYLY, INCLUDED
Number Sign	101400	SAETHRE-CHOTZEN SYNDROME; SCS	ACROCEPHALOSYNDACTYLY, TYPE III; ACS3;; ACS III;; CHOTZEN SYNDROME;; ACROCEPHALY, SKULL ASYMMETRY, AND MILD SYNDACTYLY	SAETHRE-CHOTZEN SYNDROME WITH EYELID ANOMALIES, INCLUDED;; BLEPHAROPHIMOSIS, EPICANTHUS INVERSUS, AND PTOSIS 3, FORMERLY, INCLUDED; BPES3, FORMERLY, INCLUDED
Number Sign	101600	PFEIFFER SYNDROME	ACROCEPHALOSYNDACTYLY, TYPE V; ACS5;; ACS V;; NOACK SYNDROME	CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA, INCLUDED
Number Sign	101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1	ADOHR	
NULL	101805	ACROFACIAL DYSOSTOSIS, CATANIA TYPE	AFD, CATANIA TYPE	
NULL	101840	ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT		
Percent	101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	ACROKERATOELASTOIDOSIS; AKE;; COLLAGENOUS PLAQUES OF HANDS AND FEET	
Number Sign	101900	ACROKERATOSIS VERRUCIFORMIS; AKV	HOPF DISEASE	
NULL	102000	ACROLEUKOPATHY, SYMMETRIC		
Percent	102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	ROSENTHAL-KLOEPFER SYNDROME	
Percent	102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	AFA SYNDROME;; THICK LIPS AND ORAL MUCOSA	
Number Sign	102200	PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1	SOMATOTROPINOMA, FAMILIAL ISOLATED; FIS;; ISOLATED FAMILIAL SOMATOTROPINOMA; IFS;; SOMATOTROPHINOMA, FAMILIAL;; ACROMEGALY DUE TO PITUITARY ADENOMA 1;; PAGH1	PITUITARY ADENOMA PREDISPOSITION, INCLUDED; PAP, INCLUDED;; PITUITARY ADENOMA, FAMILIAL ISOLATED, INCLUDED; FIPA, INCLUDED
Percent	102300	RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1	ACROMELALGIA, HEREDITARY;; EKBOM SYNDROME	
Percent	102350	ACROMIAL DIMPLES	SUPRASPINOUS FOSSAE, CONGENITAL	
Number Sign	102370	ACROMICRIC DYSPLASIA; ACMICD		
NULL	102400	ACROOSTEOLYSIS		
Number Sign	102500	HAJDU-CHENEY SYNDROME; HJCYS	ACROOSTEOLYSIS WITH OSTEOPOROSIS AND CHANGES IN SKULL AND MANDIBLE;; CHENEY SYNDROME;; ARTHRODENTOOSTEODYSPLASIA;; SERPENTINE FIBULA-POLYCYSTIC KIDNEY SYNDROME; SFPKS	
Percent	102510	ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV	F SYNDROME	
NULL	102520	ACRORENAL SYNDROME		
Number Sign	102530	SPERMATOGENIC FAILURE 6; SPGF6	GLOBOZOOSPERMIA;; ROUND-HEADED SPERMATOZOA;; SPERMATOZOA, ROUND-HEADED;; ACROSOME MALFORMATION OF SPERMATOZOA	
NULL	102590	ACYLASE, COBALT-ACTIVATED		
NULL	102650	ADACTYLIA, UNILATERAL	TERMINAL TRANSVERSE DEFECTS OF HAND, UNILATERAL	
NULL	102660	ADAMANTINOMA OF LONG BONES		
NULL	102699	ADENO-ASSOCIATED VIRUS INTEGRATION SITE 1; AAVS1		
Number Sign	102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	SCID DUE TO ADA DEFICIENCY;; ADA-SCID;; SCID DUE TO ADA DEFICIENCY, EARLY-ONSET	SCID DUE TO ADA DEFICIENCY, DELAYED ONSET, INCLUDED;; SCID DUE TO ADA DEFICIENCY, LATE-ONSET, INCLUDED;; ADENOSINE DEAMINASE DEFICIENCY, PARTIAL, INCLUDED;; PARTIAL ADA DEFICIENCY, INCLUDED
NULL	102730	ADENOSINE DEAMINASE, ELEVATED, HEMOLYTIC ANEMIA DUE TO		
Percent	102800	ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO		
Number Sign	102900	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	PYRUVATE KINASE HYPERACTIVITY	
Number Sign	103050	ADENYLOSUCCINASE DEFICIENCY; ADSLD	ADENYLOSUCCINATE LYASE DEFICIENCY;; ADSL DEFICIENCY	
Number Sign	103100	ADIE PUPIL	ADIE SYNDROME;; POORLY REACTING PUPILS	HOLMES-ADIE SYNDROME, INCLUDED
Percent	103200	ADIPOSIS DOLOROSA	DERCUM DISEASE	
NULL	103230	ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL	ADDISON DISEASE, CONGENITAL	
Number Sign	103285	ADULT SYNDROME	ACRO-DERMATO-UNGUAL-LACRIMAL-TOOTH SYNDROME	
Percent	103300	HYPOGLOSSIA-HYPODACTYLIA	PEROMELIA WITH MICROGNATHISM;; OROMANDIBULAR LIMB HYPOPLASIA;; AGLOSSIA-ADACTYLIA	HANHART SYNDROME, INCLUDED
NULL	103400	AINHUM		
Percent	103420	ALACRIMA, CONGENITAL, AUTOSOMAL DOMINANT	ALACRIMIA CONGENITA, AUTOSOMAL DOMINANT	
Number Sign	103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	WAARDENBURG SYNDROME, TYPE 2, WITH OCULAR ALBINISM, AUTOSOMAL RECESSIVE; WS2-OA	
Number Sign	103500	TIETZ ALBINISM-DEAFNESS SYNDROME; TADS	TIETZ SYNDROME;; ALBINISM-DEAFNESS OF TIETZ;; HYPOPIGMENTATION/DEAFNESS OF TIETZ	
Number Sign	103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A	PHP IA;; ALBRIGHT HEREDITARY OSTEODYSTROPHY WITH MULTIPLE HORMONE RESISTANCE	
Number Sign	103780	ALCOHOL DEPENDENCE	ALCOHOLISM	
Number Sign	103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1	GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM; GRA;; FH I;; GLUCOCORTICOID-SUPPRESSIBLE HYPERALDOSTERONISM; GSH;; ALDOSTERONISM, SENSITIVE TO DEXAMETHASONE;; ACTH-DEPENDENT HYPERALDOSTERONISM SYNDROME	
NULL	103920	ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS, FAMILIAL		
Percent	104000	ALOPECIA AREATA 1; AA1		ALOPECIA UNIVERSALIS, INCLUDED; AU, INCLUDED
Number Sign	104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1	PPKCA, STEVANOVIC TYPE;; KERATODERMA-HYPOTRICHOSIS-LEUKONYCHIA TOTALIS SYNDROME	
NULL	104110	ALOPECIA, FAMILIAL FOCAL; ALPF		
Percent	104130	ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY	SHOKEIR SYNDROME	
Number Sign	104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT		
Number Sign	104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1		
Number Sign	104300	ALZHEIMER DISEASE; AD	PRESENILE AND SENILE DEMENTIA	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED;; ALZHEIMER DISEASE, EARLY-ONSET, WITH CEREBRAL AMYLOID ANGIOPATHY, INCLUDED;; ALZHEIMER DISEASE, PROTECTION AGAINST, INCLUDED
Number Sign	104310	ALZHEIMER DISEASE 2; AD2	ALZHEIMER DISEASE 2, LATE-ONSET;; ALZHEIMER DISEASE ASSOCIATED WITH APOE4	
NULL	104350	AMASTIA, BILATERAL, WITH URETERAL TRIPLICATION AND DYSMORPHISM		
NULL	104400	AMELIA AND TERMINAL TRANSVERSE HEMIMELIA		
Number Sign	104500	AMELOGENESIS IMPERFECTA, TYPE IB; AI1B	AMELOGENESIS IMPERFECTA, HYPOPLASTIC LOCAL, AUTOSOMAL DOMINANT;; AIH2;; ENAMEL HYPOPLASIA, HEREDITARY LOCALIZED	
Number Sign	104510	AMELOGENESIS IMPERFECTA, TYPE IV; AI4	AMELOGENESIS IMPERFECTA, HYPOMATURATION-HYPOPLASTIC TYPE, WITH TAURODONTISM; AIHHT	
Number Sign	104530	AMELOGENESIS IMPERFECTA, TYPE IA; AI1A	AMELOGENESIS IMPERFECTA, HYPOPLASTIC TYPE IA	
Percent	104570	AMELOONYCHOHYPOHIDROTIC SYNDROME		
NULL	104600	AMENORRHEA-GALACTORRHEA SYNDROME		
Number Sign	105120	AMYLOIDOSIS, FINNISH TYPE	AMYLOIDOSIS V;; AMYLOIDOSIS, MERETOJA TYPE;; AMYLOID CRANIAL NEUROPATHY WITH LATTICE CORNEAL DYSTROPHY;; AMYLOIDOSIS DUE TO MUTANT GELSOLIN	CEREBRAL AMYLOID ANGIOPATHY, GSN-RELATED, INCLUDED;; CORNEAL DYSTROPHY, LATTICE TYPE II, INCLUDED; LCD2, INCLUDED;; LATTICE CORNEAL DYSTROPHY, TYPE II, INCLUDED
Number Sign	105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED	AMYLOIDOSIS, CEREBROARTERIAL, ICELANDIC TYPE;; AMYLOIDOSIS VI;; HEREDITARY CEREBRAL HEMORRHAGE WITH AMYLOIDOSIS; HCHWA;; CEREBRAL HEMORRHAGE, HEREDITARY, WITH AMYLOIDOSIS	
Number Sign	105200	AMYLOIDOSIS, FAMILIAL VISCERAL	AMYLOIDOSIS VIII;; OSTERTAG TYPE AMYLOIDOSIS;; GERMAN TYPE AMYLOIDOSIS;; AMYLOIDOSIS, FAMILIAL RENAL;; AMYLOIDOSIS, SYSTEMIC NONNEUROPATHIC	
Number Sign	105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	HEREDITARY AMYLOIDOSIS, TRANSTHYRETIN-RELATED;; TRANSTHYRETIN AMYLOIDOSIS;; AMYLOID POLYNEUROPATHY, FAMILIAL; FAP	AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED, INCLUDED;; AMYLOID CARDIOMYOPATHY, TRANSTHYRETIN-RELATED, INCLUDED
Number Sign	105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1	AMYLOIDOSIS, PRIMARY CUTANEOUS, 1; PCA1;; PCA;; LICHEN AMYLOIDOSIS, FAMILIAL;; AMYLOIDOSIS IX;; AMYLOIDOSIS, FAMILIAL CUTANEOUS LICHEN	
NULL	105300	AMYOTROPHIC DYSTONIC PARAPLEGIA		
Number Sign	105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, FAMILIAL; FALS;; AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL DOMINANT	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED;; AMYOTROPHIC LATERAL SCLEROSIS, SPORADIC, INCLUDED
Number Sign	105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX OF GUAM;; GUAM DISEASE;; ALS-PDC	
Number Sign	105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS; FTDALS;; FRONTOTEMPORAL DEMENTIA AND/OR MOTOR NEURON DISEASE; FTDMND;; AMYOTROPHIC LATERAL SCLEROSIS AND/OR FRONTOTEMPORAL DEMENTIA; ALSFTD	
NULL	105563	ANAL SPHINCTER DYSPLASIA; ASDP		
NULL	105565	ANAL SPHINCTER MYOPATHY, INTERNAL	PROCTALGIA FUGAX DUE TO ANAL SPHINCTER MYOPATHY	
NULL	105570	ANDROSTENONE, ABILITY TO SMELL		
NULL	105580	ANAL CANAL CARCINOMA		CLOACOGENIC CARCINOMA, INCLUDED
Percent	105600	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE III; CDAN3	DYSERYTHROPOIETIC ANEMIA, CONGENITAL, TYPE III;; CDA III;; ANEMIA WITH MULTINUCLEATED ERYTHROBLASTS;; ERYTHRORETICULOSIS, HEREDITARY BENIGN	
Number Sign	105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1	DBA;; BLACKFAN-DIAMOND SYNDROME; BDS;; ANEMIA, CONGENITAL HYPOPLASTIC, OF BLACKFAN AND DIAMOND;; ANEMIA, CONGENITAL ERYTHROID HYPOPLASTIC;; RED CELL APLASIA, PURE, HEREDITARY;; AREGENERATIVE ANEMIA, CHRONIC CONGENITAL;; ERYTHROGENESIS IMPERFECTA;; AASE-SMITH SYNDROME II;; AASE SYNDROME	
Percent	105800	ANEURYSM, INTRACRANIAL BERRY, 1; ANIB1	ANEURYSMAL SUBARACHNOID HEMORRHAGE, FAMILIAL	
NULL	105805	ANEURYSM OF INTERVENTRICULAR SEPTUM		
Number Sign	105830	ANGELMAN SYNDROME; AS	HAPPY PUPPET SYNDROME, FORMERLY	ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED; ANCR, INCLUDED
NULL	105835	ANGEL-SHAPED PHALANGOEPIPHYSEAL DYSPLASIA; ASPED		
NULL	106050	ANGIOMA SERPIGINOSUM, AUTOSOMAL DOMINANT		
Percent	106070	ANGIOMA, HEREDITARY NEUROCUTANEOUS		SPINAL ARTERIAL VENOUS MALFORMATIONS WITH CUTANEOUS HEMANGIOMAS, INCLUDED;; HEMANGIOMATOSIS, DISSEMINATED, INCLUDED
Number Sign	106100	ANGIOEDEMA, HEREDITARY, TYPE I; HAE1	ANGIONEUROTIC EDEMA, HEREDITARY; HANE;; C1 ESTERASE INHIBITOR, DEFICIENCY OF	ANGIOEDEMA, HEREDITARY, TYPE II, INCLUDED; HAE2, INCLUDED
