prefix	MIM_number	preferred_title	alternative_title	symbols	neo4j_id
NULL	100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT			846104
Percent	100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1	ANEURYSM, ABDOMINAL AORTIC; AAA;; ABDOMINAL AORTIC ANEURYSM		820247
Number Sign	100100	PRUNE BELLY SYNDROME; PBS	ABDOMINAL MUSCLES, ABSENCE OF, WITH URINARY TRACT ABNORMALITY AND CRYPTORCHIDISM;; EAGLE-BARRETT SYNDROME; EGBRS		70470
NULL	100200	ABDUCENS PALSY			845578
Number Sign	100300	ADAMS-OLIVER SYNDROME 1; AOS1	AOS;; ABSENCE DEFECT OF LIMBS, SCALP, AND SKULL;; CONGENITAL SCALP DEFECTS WITH DISTAL LIMB REDUCTION ANOMALIES;; APLASIA CUTIS CONGENITA WITH TERMINAL TRANSVERSE LIMB DEFECTS	APLASIA CUTIS CONGENITA, CONGENITAL HEART DEFECT, AND FRONTONASAL CYSTS, INCLUDED	6334
Percent	100600	ACANTHOSIS NIGRICANS			844637
NULL	100700	ACHARD SYNDROME			844351
Number Sign	100800	ACHONDROPLASIA; ACH			7333
Percent	100820	ACHOO SYNDROME	AUTOSOMAL DOMINANT COMPELLING HELIOOPHTHALMIC OUTBURST SYNDROME;; PHOTIC SNEEZE REFLEX;; SNEEZING FROM LIGHT EXPOSURE;; PEROUTKA SNEEZE		833844
Number Sign	101000	NEUROFIBROMATOSIS, TYPE II; NF2	NEUROFIBROMATOSIS, CENTRAL TYPE;; ACOUSTIC SCHWANNOMAS, BILATERAL;; BILATERAL ACOUSTIC NEUROFIBROMATOSIS; BANF;; ACOUSTIC NEURINOMA, BILATERAL; ACN		7584
NULL	101120	ACROCEPHALOPOLYSYNDACTYLY TYPE III	ACPS III;; ACPS WITH LEG HYPOPLASIA;; SAKATI-NYHAN SYNDROME		836928
Number Sign	101200	APERT SYNDROME	ACROCEPHALOSYNDACTYLY, TYPE I; ACS1;; ACS I	APERT-CROUZON DISEASE, INCLUDED;; ACROCEPHALOSYNDACTYLY, TYPE II, INCLUDED;; ACS II, INCLUDED;; VOGT CEPHALODACTYLY, INCLUDED	6228
Number Sign	101400	SAETHRE-CHOTZEN SYNDROME; SCS	ACROCEPHALOSYNDACTYLY, TYPE III; ACS3;; ACS III;; CHOTZEN SYNDROME;; ACROCEPHALY, SKULL ASYMMETRY, AND MILD SYNDACTYLY	SAETHRE-CHOTZEN SYNDROME WITH EYELID ANOMALIES, INCLUDED;; BLEPHAROPHIMOSIS, EPICANTHUS INVERSUS, AND PTOSIS 3, FORMERLY, INCLUDED; BPES3, FORMERLY, INCLUDED	7399
Number Sign	101600	PFEIFFER SYNDROME	ACROCEPHALOSYNDACTYLY, TYPE V; ACS5;; ACS V;; NOACK SYNDROME	CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA, INCLUDED	6364
Number Sign	101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1	ADOHR		511075
NULL	101805	ACROFACIAL DYSOSTOSIS, CATANIA TYPE	AFD, CATANIA TYPE		835153
NULL	101840	ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT			831523
Percent	101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3	ACROKERATOELASTOIDOSIS; AKE;; COLLAGENOUS PLAQUES OF HANDS AND FEET		843083
Number Sign	101900	ACROKERATOSIS VERRUCIFORMIS; AKV	HOPF DISEASE		503429
NULL	102000	ACROLEUKOPATHY, SYMMETRIC			828548
